"state", "date_peak", "cases_peak"
"albania", "11/14/21", "0"
"albania", "12/06/21", "0"
"albania", "01/28/22", "0"
"albania", "02/25/22", "0"
"albania", "03/22/22", "0"
"albania", "04/22/22", "0"
"algeria", "03/07/22", "0"
"angola", "04/24/22", "0"
"argentina", "01/05/22", "1"
"argentina", "04/27/22", "0"
"armenia", "03/11/22", "0"
"australia", "01/20/22", "1"
"australia", "05/24/22", "0"
"austria", "11/24/21", "1"
"austria", "03/16/22", "0"
"austria", "04/20/22", "0"
"austria", "05/18/22", "0"
"azerbaijan", "11/09/21", "1"
"azerbaijan", "02/14/22", "0"
"azerbaijan", "03/08/22", "0"
"azerbaijan", "05/25/22", "0"
"bahrain", "12/24/21", "7"
"bahrain", "03/21/22", "0"
"bahrain", "04/24/22", "0"
"bangladesh", "04/01/22", "0"
"bangladesh", "06/06/22", "1"
"belarus", "12/10/21", "0"
"belarus", "01/07/22", "0"
"belarus", "03/18/22", "0"
"belgium", "12/15/21", "1"
"belgium", "01/06/22", "1"
"belgium", "03/28/22", "0"
"belgium", "05/29/22", "0"
"bolivia", "10/19/21", "0"
"bolivia", "12/18/21", "0"
"bolivia", "03/02/22", "0"
"bolivia", "04/16/22", "0"
"bolivia", "05/10/22", "0"
"bosnia_and_herzegovina", "01/23/22", "0"
"botswana", "03/19/22", "1"
"botswana", "04/29/22", "0"
"botswana", "05/27/22", "0"
"brazil", "10/28/21", "0"
"brazil", "01/15/22", "0"
"brazil", "05/29/22", "0"
"bulgaria", "12/15/21", "0"
"bulgaria", "02/27/22", "0"
"bulgaria", "05/29/22", "0"
"cambodia", "08/16/21", "0"
"cambodia", "10/14/21", "0"
"cambodia", "01/17/22", "1"
"cambodia", "02/23/22", "1"
"cambodia", "05/12/22", "0"
"canada", "10/15/21", "0"
"canada", "01/07/22", "1"
"canada", "03/22/22", "0"
"canada", "05/25/22", "0"
"chile", "08/15/21", "0"
"chile", "10/27/21", "1"
"chile", "12/28/21", "1"
"chile", "02/16/22", "0"
"chile", "05/12/22", "1"
"china", "11/03/21", "0"
"china", "12/01/21", "0"
"china", "01/04/22", "2"
"china", "02/05/22", "1"
"china", "03/19/22", "1"
"colombia", "12/16/21", "1"
"colombia", "01/21/22", "0"
"colombia", "04/27/22", "0"
"costa_rica", "12/19/21", "0"
"costa_rica", "02/19/22", "1"
"croatia", "01/07/22", "2"
"cuba", "12/23/21", "2"
"cuba", "03/23/22", "0"
"cuba", "05/04/22", "1"
"czechia", "12/05/21", "1"
"czechia", "01/05/22", "1"
"czechia", "03/20/22", "0"
"czechia", "05/11/22", "0"
"denmark", "12/16/21", "2"
"denmark", "03/28/22", "0"
"dominican_republic", "07/11/21", "0"
"dominican_republic", "08/19/21", "0"
"dominican_republic", "10/04/21", "0"
"dominican_republic", "11/21/21", "0"
"dominican_republic", "01/26/22", "0"
"dominican_republic", "04/01/22", "0"
"ecuador", "01/05/22", "0"
"ecuador", "02/15/22", "0"
"ecuador", "04/11/22", "0"
"egypt", "03/02/22", "0"
"egypt", "04/10/22", "0"
"egypt", "06/12/22", "0"
"el_salvador", "10/04/21", "0"
"el_salvador", "11/22/21", "0"
"el_salvador", "12/14/21", "0"
"el_salvador", "01/18/22", "0"
"el_salvador", "03/30/22", "0"
"el_salvador", "05/18/22", "0"
"el_salvador", "06/19/22", "0"
"estonia", "07/27/21", "0"
"estonia", "11/04/21", "0"
"estonia", "04/17/22", "0"
"eswatini", "03/18/22", "1"
"finland", "12/22/21", "1"
"finland", "05/20/22", "1"
"finland", "06/21/22", "0"
"france", "12/09/21", "1"
"france", "03/28/22", "0"
"france", "05/29/22", "0"
"georgia", "01/07/22", "0"
"germany", "12/09/21", "1"
"ghana", "04/29/22", "0"
"greece", "12/08/21", "1"
"greece", "03/28/22", "0"
"guatemala", "01/09/22", "0"
"guatemala", "02/21/22", "0"
"guatemala", "05/04/22", "0"
"guatemala", "05/25/22", "0"
"honduras", "12/01/21", "0"
"honduras", "01/19/22", "0"
"honduras", "03/16/22", "1"
"honduras", "04/27/22", "0"
"honduras", "06/01/22", "0"
"hong_kong", "11/18/21", "0"
"hong_kong", "03/07/22", "1"
"hong_kong", "05/23/22", "0"
"hungary", "09/03/21", "1"
"hungary", "11/23/21", "1"
"hungary", "01/23/22", "0"
"hungary", "03/04/22", "0"
"hungary", "04/22/22", "0"
"india", "02/03/22", "0"
"india", "05/05/22", "0"
"india", "06/22/22", "0"
"indonesia", "02/04/22", "0"
"indonesia", "03/28/22", "0"
"indonesia", "06/05/22", "0"
"iran", "01/15/22", "2"
"iran", "05/08/22", "0"
"ireland", "12/21/21", "2"
"ireland", "03/21/22", "0"
"ireland", "05/21/22", "0"
"israel", "08/23/21", "1"
"israel", "01/05/22", "1"
"israel", "05/04/22", "0"
"italy", "01/13/22", "1"
"italy", "04/13/22", "0"
"jamaica", "03/04/22", "0"
"japan", "02/16/22", "1"
"japan", "06/11/22", "0"
"jordan", "03/08/22", "1"
"kazakhstan", "02/16/22", "2"
"kuwait", "12/25/21", "1"
"kuwait", "03/22/22", "2"
"kuwait", "05/30/22", "0"
"latvia", "12/13/21", "0"
"latvia", "01/05/22", "0"
"latvia", "05/04/22", "0"
"lebanon", "12/22/21", "1"
"lebanon", "03/07/22", "0"
"libya", "02/24/22", "0"
"lithuania", "11/20/21", "0"
"lithuania", "03/13/22", "0"
"malaysia", "01/13/22", "1"
"malaysia", "05/08/22", "0"
"mauritania", "05/27/22", "1"
"mauritius", "02/15/22", "5"
"mauritius", "04/29/22", "0"
"mauritius", "05/27/22", "0"
"mexico", "04/22/22", "5"
"moldova", "01/07/22", "0"
"mongolia", "12/13/21", "3"
"mongolia", "03/27/22", "0"
"morocco", "02/15/22", "2"
"morocco", "05/21/22", "0"
"mozambique", "04/24/22", "0"
"myanmar", "03/17/22", "0"
"myanmar", "05/07/22", "0"
"myanmar", "06/06/22", "0"
"namibia", "05/20/22", "0"
"nepal", "02/19/22", "0"
"nepal", "04/25/22", "0"
"nepal", "06/04/22", "0"
"netherlands", "01/06/22", "2"
"netherlands", "03/31/22", "0"
"netherlands", "05/26/22", "0"
"new_zealand", "01/26/22", "1"
"new_zealand", "05/02/22", "0"
"north_macedonia", "10/26/21", "0"
"north_macedonia", "11/25/21", "0"
"north_macedonia", "01/14/22", "0"
"north_macedonia", "03/18/22", "0"
"norway", "12/08/21", "1"
"norway", "01/12/22", "1"
"norway", "04/06/22", "0"
"norway", "06/14/22", "0"
"oman", "03/20/22", "2"
"pakistan", "01/25/22", "0"
"pakistan", "02/28/22", "0"
"pakistan", "04/16/22", "0"
"pakistan", "06/09/22", "0"
"palestine", "03/22/22", "1"
"panama", "10/22/21", "0"
"panama", "01/21/22", "1"
"panama", "05/04/22", "0"
"paraguay", "11/17/21", "0"
"paraguay", "01/05/22", "0"
"paraguay", "02/05/22", "0"
"paraguay", "05/11/22", "0"
"peru", "01/06/22", "1"
"peru", "03/31/22", "0"
"philippines", "01/07/22", "0"
"philippines", "03/13/22", "0"
"philippines", "05/09/22", "0"
"philippines", "06/10/22", "0"
"poland", "12/04/21", "0"
"poland", "01/14/22", "0"
"poland", "03/29/22", "0"
"poland", "05/29/22", "0"
"portugal", "11/24/21", "1"
"portugal", "01/19/22", "1"
"portugal", "04/27/22", "0"
"portugal", "05/25/22", "0"
"qatar", "02/08/22", "5"
"qatar", "05/09/22", "0"
"qatar", "06/06/22", "0"
"russia", "10/19/21", "0"
"russia", "11/20/21", "0"
"russia", "12/15/21", "0"
"russia", "01/19/22", "0"
"russia", "04/02/22", "0"
"russia", "06/16/22", "0"
"rwanda", "01/22/22", "1"
"rwanda", "02/22/22", "1"
"rwanda", "03/29/22", "1"
"rwanda", "04/29/22", "1"
"saudi_arabia", "01/26/22", "1"
"serbia", "08/28/21", "0"
"serbia", "10/21/21", "0"
"serbia", "02/18/22", "0"
"singapore", "09/27/21", "0"
"singapore", "10/30/21", "0"
"singapore", "01/05/22", "1"
"singapore", "04/26/22", "0"
"slovakia", "12/03/21", "0"
"slovakia", "03/18/22", "0"
"slovenia", "09/27/21", "0"
"slovenia", "11/11/21", "1"
"slovenia", "12/20/21", "0"
"slovenia", "04/05/22", "0"
"south_africa", "01/31/22", "0"
"south_africa", "03/02/22", "0"
"south_africa", "05/16/22", "0"
"south_korea", "12/16/21", "1"
"south_korea", "04/30/22", "0"
"spain", "12/14/21", "1"
"spain", "01/09/22", "1"
"spain", "05/02/22", "0"
"spain", "06/13/22", "0"
"sri_lanka", "12/11/21", "1"
"sri_lanka", "02/05/22", "0"
"sri_lanka", "04/23/22", "0"
"sweden", "05/17/22", "7"
"switzerland", "12/09/21", "1"
"switzerland", "03/09/22", "0"
"switzerland", "05/18/22", "0"
"taiwan", "01/17/22", "1"
"taiwan", "02/16/22", "1"
"taiwan", "04/16/22", "0"
"taiwan", "06/21/22", "0"
"tajikistan", "03/11/22", "1"
"tajikistan", "04/29/22", "1"
"thailand", "10/03/21", "0"
"thailand", "01/20/22", "1"
"thailand", "04/21/22", "0"
"timor", "03/20/22", "0"
"timor", "05/01/22", "0"
"togo", "06/03/22", "0"
"trinidad_and_tobago", "11/22/21", "0"
"trinidad_and_tobago", "05/20/22", "0"
"tunisia", "10/30/21", "0"
"tunisia", "02/09/22", "0"
"tunisia", "05/02/22", "0"
"turkey", "07/03/21", "0"
"turkey", "08/19/21", "0"
"turkey", "12/22/21", "1"
"turkey", "04/19/22", "0"
"ukraine", "02/01/22", "0"
"united_arab_emirates", "07/16/21", "3"
"united_arab_emirates", "09/11/21", "0"
"united_arab_emirates", "10/16/21", "0"
"united_arab_emirates", "01/03/22", "0"
"united_arab_emirates", "04/02/22", "0"
"united_arab_emirates", "06/03/22", "0"
"united_kingdom", "12/19/21", "1"
"united_kingdom", "04/02/22", "0"
"united_kingdom", "05/15/22", "0"
"united_states", "10/26/21", "0"
"united_states", "03/21/22", "0"
"uruguay", "09/01/21", "1"
"uruguay", "01/11/22", "0"
"uruguay", "03/09/22", "0"
"uruguay", "05/11/22", "0"
"uzbekistan", "03/11/22", "1"
"uzbekistan", "05/13/22", "1"
"venezuela", "02/02/22", "0"
"venezuela", "03/23/22", "0"
"vietnam", "02/11/22", "4"
"vietnam", "06/14/22", "0"
"zimbabwe", "03/05/22", "0"
"zimbabwe", "06/21/22", "0"
