"state", "date_peak", "cases_peak"
"australia", "04/02/20", "70"
"australia", "08/05/20", "36"
"australia", "12/05/20", "2"
"australia", "01/04/21", "3"
"australia", "03/21/21", "4"
"australia", "04/25/21", "4"
"australia", "08/24/21", "41"
"australia", "01/08/22", "192"
"australia", "04/02/22", "56"
"austria", "04/01/20", "153"
"austria", "07/18/20", "4"
"austria", "11/04/20", "153"
"austria", "03/24/21", "48"
"austria", "09/15/21", "24"
"austria", "11/17/21", "83"
"austria", "02/02/22", "63"
"austria", "03/14/22", "47"
"belgium", "03/28/20", "385"
"belgium", "07/27/20", "9"
"belgium", "10/24/20", "327"
"belgium", "03/31/21", "65"
"belgium", "08/16/21", "17"
"belgium", "11/20/21", "88"
"belgium", "01/26/22", "131"
"belgium", "03/23/22", "65"
"bolivia", "05/11/21", "211"
"bolivia", "08/11/21", "0"
"bolivia", "10/23/21", "30"
"bolivia", "01/07/22", "57"
"bolivia", "04/07/22", "5"
"bulgaria", "04/06/20", "33"
"bulgaria", "06/23/20", "14"
"bulgaria", "08/01/20", "18"
"bulgaria", "11/13/20", "192"
"bulgaria", "03/19/21", "206"
"bulgaria", "08/27/21", "131"
"bulgaria", "10/29/21", "138"
"bulgaria", "01/06/22", "124"
"bulgaria", "04/06/22", "0"
"canada", "04/05/20", "129"
"canada", "10/07/20", "32"
"canada", "12/30/20", "103"
"canada", "04/08/21", "127"
"canada", "09/09/21", "69"
"canada", "01/13/22", "458"
"canada", "04/07/22", "110"
"croatia", "04/14/20", "53"
"croatia", "06/28/20", "8"
"croatia", "08/29/20", "12"
"croatia", "11/18/20", "48"
"croatia", "04/04/21", "54"
"croatia", "08/24/21", "18"
"croatia", "11/14/21", "63"
"croatia", "01/25/22", "30"
"croatia", "03/30/22", "5"
"czechia", "03/26/20", "25"
"czechia", "06/15/20", "3"
"czechia", "07/25/20", "4"
"czechia", "10/28/20", "326"
"czechia", "01/05/21", "270"
"czechia", "02/24/21", "194"
"czechia", "07/28/21", "3"
"czechia", "11/17/21", "189"
"czechia", "02/02/22", "171"
"czechia", "03/16/22", "20"
"denmark", "03/31/20", "75"
"denmark", "08/05/20", "1"
"denmark", "09/23/20", "6"
"denmark", "11/13/20", "9"
"denmark", "12/19/20", "39"
"denmark", "03/24/21", "4"
"denmark", "05/12/21", "3"
"denmark", "08/10/21", "6"
"denmark", "10/24/21", "12"
"denmark", "12/28/21", "18"
"denmark", "02/16/22", "43"
"estonia", "03/27/20", "8"
"estonia", "07/31/20", "1"
"estonia", "09/18/20", "2"
"estonia", "12/22/20", "11"
"estonia", "02/26/21", "14"
"estonia", "09/09/21", "5"
"estonia", "10/14/21", "18"
"estonia", "02/21/22", "17"
"estonia", "04/04/22", "3"
"finland", "03/28/20", "20"
"finland", "06/19/20", "1"
"finland", "08/22/20", "1"
"finland", "10/14/20", "3"
"finland", "12/08/20", "15"
"finland", "02/24/21", "10"
"finland", "05/17/21", "5"
"finland", "07/31/21", "6"
"finland", "10/09/21", "7"
"finland", "11/20/21", "6"
"finland", "01/10/22", "33"
"finland", "03/05/22", "20"
"france", "03/28/20", "1,540"
"france", "10/29/20", "937"
"france", "01/25/21", "205"
"france", "04/05/21", "332"
"france", "08/11/21", "160"
"france", "12/09/21", "333"
"france", "01/19/22", "559"
"france", "04/02/22", "219"
"hungary", "04/10/20", "79"
"hungary", "11/02/20", "239"
"hungary", "03/15/21", "279"
"hungary", "11/10/21", "217"
"hungary", "02/02/22", "161"
"ireland", "03/28/20", "47"
"ireland", "10/19/20", "12"
"ireland", "01/10/21", "110"
"ireland", "05/22/21", "4"
"ireland", "08/24/21", "12"
"ireland", "10/16/21", "12"
"ireland", "11/10/21", "15"
"ireland", "01/02/22", "45"
"ireland", "03/21/22", "52"
"israel", "03/31/20", "44"
"israel", "07/07/20", "28"
"israel", "09/27/20", "48"
"israel", "01/06/21", "61"
"israel", "03/02/21", "0"
"israel", "08/13/21", "44"
"israel", "01/15/22", "126"
"israel", "03/29/22", "15"
"italy", "03/20/20", "1,426"
"italy", "11/06/20", "1,047"
"italy", "01/10/21", "86"
"italy", "03/15/21", "533"
"italy", "08/17/21", "98"
"italy", "01/09/22", "565"
"italy", "03/30/22", "140"
"japan", "04/26/20", "788"
"japan", "07/27/20", "184"
"japan", "11/23/20", "268"
"japan", "01/11/21", "247"
"japan", "04/19/21", "265"
"japan", "08/02/21", "625"
"japan", "01/24/22", "905"
"latvia", "04/01/20", "4"
"latvia", "05/25/20", "0"
"latvia", "08/01/20", "1"
"latvia", "12/06/20", "28"
"latvia", "04/06/21", "12"
"latvia", "10/23/21", "41"
"latvia", "02/02/22", "32"
"latvia", "03/23/22", "6"
"lithuania", "11/11/20", "113"
"lithuania", "04/06/21", "23"
"lithuania", "10/22/21", "32"
"lithuania", "12/14/21", "12"
"lithuania", "02/01/22", "36"
"malaysia", "03/27/20", "220"
"malaysia", "06/02/20", "5"
"malaysia", "07/31/20", "8"
"malaysia", "10/06/20", "82"
"malaysia", "11/26/20", "121"
"malaysia", "01/13/21", "95"
"malaysia", "05/22/21", "279"
"malaysia", "07/17/21", "343"
"malaysia", "11/11/21", "96"
"malaysia", "02/11/22", "273"
"netherlands", "03/22/20", "225"
"netherlands", "08/11/20", "7"
"netherlands", "10/21/20", "55"
"netherlands", "12/29/20", "57"
"netherlands", "04/28/21", "29"
"netherlands", "07/18/21", "25"
"netherlands", "10/31/21", "59"
"netherlands", "02/01/22", "38"
"netherlands", "03/12/22", "49"
"norway", "03/25/20", "22"
"norway", "06/26/20", "1"
"norway", "08/05/20", "2"
"norway", "11/15/20", "6"
"norway", "01/12/21", "5"
"norway", "03/15/21", "10"
"norway", "08/29/21", "5"
"norway", "10/30/21", "9"
"norway", "12/15/21", "11"
"norway", "02/20/22", "22"
"poland", "04/11/20", "359"
"poland", "06/21/20", "35"
"poland", "07/30/20", "34"
"poland", "10/29/20", "608"
"poland", "12/30/20", "43"
"poland", "03/25/21", "713"
"poland", "11/12/21", "479"
"poland", "02/03/22", "379"
"portugal", "03/31/20", "98"
"portugal", "06/29/20", "10"
"portugal", "11/01/20", "79"
"portugal", "01/23/21", "161"
"portugal", "07/13/21", "22"
"portugal", "09/01/21", "3"
"portugal", "11/30/21", "30"
"portugal", "01/22/22", "56"
