"state", "date_peak", "cases_peak"
"afghanistan", "07/15/20", "25"
"afghanistan", "12/06/20", "15"
"afghanistan", "06/20/21", "87"
"afghanistan", "10/29/21", "3"
"afghanistan", "12/24/21", "3"
"afghanistan", "02/08/22", "8"
"albania", "03/29/20", "1"
"albania", "08/04/20", "4"
"albania", "09/03/20", "5"
"albania", "12/05/20", "14"
"albania", "03/05/21", "18"
"albania", "09/28/21", "11"
"albania", "02/02/22", "6"
"algeria", "04/05/20", "19"
"algeria", "06/18/20", "10"
"algeria", "07/22/20", "10"
"algeria", "11/28/20", "17"
"algeria", "03/03/21", "4"
"algeria", "04/28/21", "8"
"algeria", "08/04/21", "33"
"algeria", "02/12/22", "11"
"angola", "03/27/20", "0"
"angola", "08/08/20", "3"
"angola", "10/04/20", "4"
"angola", "12/16/20", "3"
"angola", "01/20/21", "3"
"angola", "05/20/21", "8"
"angola", "09/23/21", "14"
"angola", "01/08/22", "8"
"argentina", "09/29/20", "726"
"argentina", "01/21/21", "190"
"argentina", "06/10/21", "552"
"argentina", "01/27/22", "238"
"armenia", "06/23/20", "11"
"armenia", "11/13/20", "26"
"armenia", "04/20/21", "19"
"armenia", "11/12/21", "45"
"armenia", "02/17/22", "20"
"australia", "04/06/20", "4"
"australia", "09/01/20", "20"
"australia", "11/27/20", "0"
"australia", "12/25/20", "0"
"australia", "04/10/21", "0"
"australia", "10/19/21", "14"
"australia", "01/27/22", "81"
"australia", "04/04/22", "70"
"austria", "04/08/20", "19"
"austria", "12/18/20", "117"
"austria", "04/08/21", "30"
"austria", "12/03/21", "53"
"austria", "03/31/22", "42"
"azerbaijan", "07/23/20", "8"
"azerbaijan", "12/14/20", "37"
"azerbaijan", "04/09/21", "29"
"azerbaijan", "08/31/21", "36"
"azerbaijan", "11/05/21", "24"
"azerbaijan", "02/17/22", "23"
"bahrain", "03/23/20", "0"
"bahrain", "06/29/20", "3"
"bahrain", "10/11/20", "3"
"bahrain", "03/03/21", "3"
"bahrain", "06/04/21", "20"
"bahrain", "08/21/21", "0"
"bahrain", "10/17/21", "0"
"bahrain", "11/18/21", "0"
"bahrain", "02/25/22", "2"
"bangladesh", "07/08/20", "40"
"bangladesh", "08/26/20", "38"
"bangladesh", "12/15/20", "29"
"bangladesh", "04/17/21", "87"
"bangladesh", "08/08/21", "218"
"bangladesh", "02/08/22", "31"
"belarus", "07/05/20", "5"
"belarus", "10/06/20", "5"
"belarus", "01/26/21", "9"
"belarus", "05/17/21", "9"
"belarus", "07/02/21", "9"
"belarus", "10/29/21", "14"
"belarus", "12/10/21", "14"
"belgium", "04/10/20", "281"
"belgium", "08/13/20", "9"
"belgium", "11/12/20", "178"
"belgium", "04/09/21", "39"
"belgium", "12/16/21", "56"
"belgium", "02/09/22", "57"
"benin", "04/04/20", "0"
"benin", "06/28/20", "1"
"benin", "09/28/20", "0"
"benin", "11/02/20", "0"
"benin", "11/30/20", "0"
"benin", "03/06/21", "2"
"benin", "09/27/21", "2"
"benin", "01/10/22", "0"
"bolivia", "09/05/20", "279"
"bolivia", "02/04/21", "53"
"bolivia", "06/15/21", "86"
"bolivia", "01/19/22", "60"
"bolivia", "03/27/22", "59"
"bosnia_and_herzegovina", "05/09/20", "5"
"bosnia_and_herzegovina", "08/13/20", "11"
"bosnia_and_herzegovina", "11/19/20", "51"
"bosnia_and_herzegovina", "03/31/21", "78"
"bosnia_and_herzegovina", "10/13/21", "35"
"bosnia_and_herzegovina", "11/17/21", "37"
"bosnia_and_herzegovina", "02/02/22", "52"
"botswana", "04/02/20", "0"
"botswana", "09/02/20", "1"
"botswana", "11/17/20", "1"
"botswana", "11/28/20", "0"
"botswana", "03/06/21", "12"
"botswana", "03/30/21", "12"
"botswana", "06/22/21", "22"
"botswana", "08/10/21", "38"
"botswana", "01/08/22", "6"
"botswana", "03/28/22", "10"
"brazil", "07/23/20", "994"
"brazil", "04/08/21", "2,847"
"brazil", "06/18/21", "1,916"
"brazil", "02/10/22", "833"
"bulgaria", "05/02/20", "3"
"bulgaria", "08/26/20", "9"
"bulgaria", "12/03/20", "131"
"bulgaria", "04/10/21", "119"
"bulgaria", "11/10/21", "160"
"bulgaria", "02/16/22", "88"
"burkina_faso", "03/29/20", "1"
"burkina_faso", "08/02/20", "0"
"burkina_faso", "10/13/20", "1"
"burkina_faso", "01/25/21", "2"
"burkina_faso", "03/31/21", "1"
"burkina_faso", "05/04/21", "1"
"burkina_faso", "07/12/21", "0"
"burkina_faso", "08/09/21", "0"
"burkina_faso", "10/04/21", "2"
"burkina_faso", "11/14/21", "4"
"burkina_faso", "12/19/21", "3"
"burkina_faso", "01/04/22", "2"
"burkina_faso", "03/15/22", "1"
"burundi", "04/11/20", "0"
"burundi", "12/17/20", "0"
"burundi", "02/03/21", "0"
"burundi", "03/19/21", "0"
"burundi", "06/04/21", "0"
"burundi", "07/31/21", "4"
"cambodia", "07/16/21", "26"
"cambodia", "09/26/21", "19"
"cambodia", "02/24/22", "2"
"cameroon", "05/09/20", "9"
"cameroon", "06/18/20", "13"
"cameroon", "10/06/20", "0"
"cameroon", "12/02/20", "1"
"cameroon", "03/30/21", "19"
"cameroon", "04/27/21", "17"
"cameroon", "09/27/21", "13"
"cameroon", "02/09/22", "5"
"canada", "04/16/20", "160"
"canada", "08/19/20", "6"
"canada", "01/07/21", "150"
"canada", "04/15/21", "56"
"canada", "10/15/21", "40"
"canada", "01/20/22", "145"
"canada", "03/24/22", "37"
"central_african_republic", "06/25/20", "3"
"central_african_republic", "11/12/20", "0"
"central_african_republic", "04/19/21", "1"
"central_african_republic", "08/12/21", "0"
"central_african_republic", "11/10/21", "0"
"central_african_republic", "01/12/22", "1"
"chad", "05/10/20", "3"
"chad", "10/08/20", "1"
"chad", "03/11/21", "2"
"chad", "12/01/21", "1"
"chad", "01/22/22", "1"
"chad", "03/26/22", "0"
"chile", "07/18/20", "223"
"chile", "04/01/21", "110"
"chile", "06/19/21", "111"
"chile", "12/04/21", "26"
"chile", "03/19/22", "1,704"
"china", "02/16/20", "127"
"china", "04/15/20", "185"
